Unnamed: 0,song_id,acousticness,valence,danceability,energy,key_arr,instrumentalness,liveness,track image,artist image,loudness,speechiness,tempo,duration,h_s
75,spotify:track:69uxyAqqPIsUyTO8txoP2M,0.00205,0.529,0.638,0.924,7,0.000173,0.149,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6,https://i.scdn.co/image/ab6761610000e5eb865a3301762a8fce048cb469,-3.887,0.0359,111.995,263787,h
76,spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.0291,0.847,0.641,0.922,2,0,0.0862,https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec,https://i.scdn.co/image/ab6761610000e5eb3c2f1ba4c1a3de141e63d775,-4.457,0.0786,146.078,258343,h
77,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.013,0.86,0.853,0.56,1,0,0.0944,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,-4.961,0.0406,134.066,206693,h
78,spotify:track:1A8j067qyiNwQnZT0bzUpZ,0.0927,0.466,0.792,0.717,0,3.59E-05,0.226,https://i.scdn.co/image/ab67616d0000b273af72d0856c5527dc97f3ea08,https://i.scdn.co/image/ab6761610000e5ebc5eaf5a6086347d8d9a35517,-4.759,0.0393,121.985,195547,h
79,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.661,0.748,0.524,8,0,0.111,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,https://i.scdn.co/image/ab6761610000e5eb3c02f4fb4cc9187c488afd50,-5.599,0.0338,95.01,244960,h
80,spotify:track:5CpkVOosLFc83LbwqO6hnI,0.0328,0.654,0.734,0.921,6,0,0.197,https://i.scdn.co/image/ab67616d0000b273681d6da9a0ab5ff23fadf0f9,https://i.scdn.co/image/ab6761610000e5eb8422afa6e7b0c977636bfebd,-1.936,0.0863,120.056,218480,h
81,spotify:track:1ExfPZEiahqhLyajhybFeS,0.332,0.949,0.738,0.804,11,0,0.279,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,-3.851,0.0621,174.943,190213,h
82,spotify:track:6aGjEZ7kq3YXgD0EDt80O5,0.0629,0.936,0.658,0.837,2,0,0.0969,https://i.scdn.co/image/ab67616d0000b273ddacff8ec2f8f34ed56957cf,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8,-2.063,0.0543,126.015,200187,h
83,spotify:track:7yws3pF3FFguwT2Psi6c15,0.0242,0.803,0.855,0.668,11,0,0.102,https://i.scdn.co/image/ab67616d0000b2739004d9d1b817af63d113e937,https://i.scdn.co/image/ab6761610000e5eb1fe57aeec785741820fedd52,-4.892,0.0644,125.846,210307,h
84,spotify:track:4urcG6Nfubqsuqy3juMjBi,0.00765,0.886,0.765,0.765,1,3.82E-06,0.0527,https://i.scdn.co/image/ab67616d0000b273cc50268bd94de0934dad0ca0,https://i.scdn.co/image/ab6761610000e5ebdd1ef281be760d191bc3fe0c,-2.732,0.0585,120.001,227147,h
85,spotify:track:3ytr3WoSfkck1jDmrGhMik,0.192,0.654,0.879,0.536,5,0,0.0716,https://i.scdn.co/image/ab67616d0000b273299fabf95ca2657e0824228e,https://i.scdn.co/image/ab6761610000e5eb0b16721b7e03c4d898594e0c,-6.843,0.0602,112.02,158571,h
86,spotify:track:76hfruVvmfQbw0eYn1nmeC,0.152,0.896,0.774,0.753,4,0,0.0371,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9,https://i.scdn.co/image/ab6761610000e5eba290ca663e0f4a1007634d79,-5.446,0.0517,119.002,219147,h
87,spotify:track:3cfOd4CMv2snFaKAnMdnvK,0.0395,0.776,0.731,0.867,11,0,0.0861,https://i.scdn.co/image/ab67616d0000b2734f3bbf9631faeb8de9912a23,https://i.scdn.co/image/ab6761610000e5eb3dbd24cf00deb3d4b8890f1c,-5.881,0.032,104.019,200373,h
88,spotify:track:10Igtw8bSDyyFs7KIsKngZ,0.147,0.755,0.755,0.599,8,0,0.109,https://i.scdn.co/image/ab67616d0000b273f1115552efd25fa498ec923a,https://i.scdn.co/image/ab6761610000e5eb6a2d6dc14edc0c58cfee9683,-5.042,0.224,133.123,216632,h
